name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,c/s,c/f,f/s,f/f,crew/s,crew/f,hints,tags,logistics n/a reason,codex variant id,rarity,breakProb,minPieces,maxPieces,travel drive,number
未详-定制,IIRT_Lab_Vague,实验性重型相位鱼雷舰,克劳斯姆概念,IIRT_Lab_PhasePlasmajets,10,1500,400,2050,1550,250,55,,120,120,100,55,120,200,PHASE,phasecloak,,,,-0.12,0.04,5,10,25,50,1,50,10,92000,10,20,180,0.25,14,14,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX","restricted, no_autofit, no_sell, KRM_bp",,,,0.5,2,4,,
未详,IIRT_Lab_Vague_Common,实验性相位护卫舰,克劳斯姆概念,IIRT_Lab_PhaseTeleporter_short,12,1500,450,3000,2000,300,55,,160,120,100,55,120,200,PHASE,phasecloak,,,,-0.12,0.04,5,10,25,50,1,50,10,92000,10,20,240,0.25,12,12,,,,,,,,KRM_bp,,,,0.5,2,4,IIRT_PhaseInBattle,
障目,IIRT_Lab_Coveye,实验性相位歼击舰,克劳斯姆概念,IIRT_Lab_PhaseTeleporter,12,3250,450,3000,2000,350,75,,150,120,100,60,120,250,PHASE,phasecloak,,,,-0.12,0.04,20,60,75,100,1,50,10,95000,5,20,240,0.25,12,12,,,,,,,,KRM_bp,,,0.5,0.5,2,4,IIRT_PhaseInBattle,
绞刑,IIRT_Lab_Gallows,波弦相位驱逐舰,克劳斯姆概念,,12,2500,450,3000,2000,300,60,,145,120,100,55,120,250,PHASE,phasecloak,,,,-0.12,0.04,10,20,25,50,1,50,10,95000,10,20,240,0.25,12,12,,,,,,,,KRM_bp,,,0.5,0.5,2,4,IIRT_PhaseInBattle,
悲绪,IIRT_Lab_Pessimism,冲程相位驱逐舰,克劳斯姆概念,IIRT_Lab_PhasePlasmajets_Small,12,2600,400,4000,2000,350,60,,145,120,100,55,120,250,PHASE,phasecloak,,,,-0.12,0.04,10,20,25,50,1,50,10,95000,10,20,240,0.25,12,12,,,,,,,,KRM_bp,,,0.5,0.5,2,4,IIRT_PhaseInBattle,
弥漫,IIRT_Lab_Diffuse,实验性涂层兵船,克劳斯姆概念,IIRT_Lab_Drone_pd_x4,12,3000,600,4000,2000,300,65,1,100,110,100,55,120,250,OMNI,,360,0.6,0.8,,,80,250,80,100,1,50,10,85000,10,20,240,0.25,12,12,,,,,,,,KRM_bp,,,0.5,0.7,2,6,,
守望者,IIRT_Lab_Watchman,实验性共相驱逐舰,克劳斯姆概念,IIRT_Lab_PhaseHold,12,4750,650,7000,2000,700,70,,145,120,120,55,120,225,PHASE,phasecloak,,,,-0.12,0.04,0,0,50,50,1,50,10,92000,10,10,360,0.25,12,12,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX",KRM_bp,,,0.25,0.5,2,6,,
摆渡人,IIRT_Lab_Ferryman,实验性共相护卫舰,克劳斯姆概念,IIRT_Lab_PhaseHold,6,2500,400,5000,2000,450,25,,165,200,200,80,160,200,OMNI,,360,0.6,0.6,,,0,0,10,50,1,50,10,50000,10,10,300,0.25,6,6,,,,,,,,KRM_bp,,,0.25,0.5,2,4,,
寻仇,IIRT_Lab_Revenge,实验性相位自动机械,克劳斯姆概念,IIRT_Lab_MadEnergy,11,2500,400,3250,3000,300,70,,120,200,100,55,120,250,PHASE,phasecloak,,,,-0.12,0.04,0,0,100,50,1,50,10,92000,10,20,240,0.25,11,11,,,,,,,UNBOARDABLE,KRM_bp,,,,0.5,2,4,IIRT_PhaseInBattle,
荒谬,IIRT_Lab_Nonsense,实验性自动机械,克劳斯姆概念,IIRT_Long_Emp,8,1500,200,3000,3000,200,40,,160,320,320,180,360,100,FRONT,,360,0.6,0.6,,,0,0,10,50,1,50,10,50000,10,20,180,0.25,8,8,,,,,,,UNBOARDABLE,KRM_bp,,,,0.5,2,4,IIRT_PhaseInBattle,
疾步,IIRT_Lab_Lopes,实验性自动机械,克劳斯姆概念,temporalshell,10,5500,500,7250,5000,300,75,1,130,200,100,90,200,250,OMNI,,270,0.5,0.65,,,0,0,10,80,2,25,10,92000,10,20,240,0.25,12,12,,,,,,,UNBOARDABLE,KRM_bp,,,,0.75,2,4,,
远凿,IIRT_Lab_FarBore,实验性自动机械,克劳斯姆概念,forgevats,16,5500,500,10500,9000,650,100,2,100,200,100,90,200,320,OMNI,,270,0.6,0.7,,,0,0,500,400,2,25,10,100000,10,20,240,0.25,20,20,,,,,,,UNBOARDABLE,KRM_bp,,,,0.75,2,4,,
泯灭,IIRT_Lab_Perished,实验性相位重炮艇,克劳斯姆概念,IIRT_Lab_PhaseTeleporter_short,28,4750,500,8500,7500,500,130,,80,200,100,90,200,375,PHASE,phasecloak,,,,-0.12,0.03,40,80,60,100,3,50,8,110000,5,20,300,0.25,28,28,,,,,,,,KRM_bp,,,,0.5,1,4,IIRT_PhaseInBattle,
不晰,IIRT_Lab_Misty,实验性相位驱逐航母,克劳斯姆概念,reservewing,14,4000,800,5000,3500,400,90,2,80,60,40,30,30,450,PHASE,phasecloak,,,,-0.15,0.05,40,80,60,100,3,50,8,135000,5,20,300,0.25,20,20,,,,,,,"PHASE, COMBAT",KRM_bp,,,,0.5,1,4,IIRT_PhaseInBattle,
长刀,IIRT_Lab_LongKnives,实验性涂层巡洋舰,克劳斯姆概念,IIRT_Lab_MadEnergy,18,8000,800,11000,9500,600,140,,70,40,35,20,25,1350,OMNI,,180,0.6,0.7,,,100,165,200,150,6,100,8,180000,5,15,420,0.25,25,25,,,,,,,,KRM_bp,,,,,,,,
不恭,IIRT_Lab_Impudent,实验性相位巡洋舰,克劳斯姆概念,IIRT_Lab_PhasePlasmajets,30,6000,1300,10000,9000,900,150,,80,55,55,25,35,1250,PHASE,phasecloak,,,,-0.12,0.04,50,100,120,150,8,50,8,280000,5,20,420,0.25,35,35,,,,,,,,KRM_bp,,,,0.8,2,5,IIRT_PhaseInBattle,
梦魇,IIRT_Lab_NightMare,实验性相位航母,克劳斯姆概念,IIRT_Lab_PhaseTeleporter,32,12000,1300,10000,9000,900,240,3,40,120,120,20,40,1500,PHASE,phasecloak,,,,-0.16,0.04,100,200,220,200,8,50,8,350000,4,20,420,0.25,55,55,,,,,,,"PHASE, COMBAT",KRM_bp,,,,0.64,2,5,IIRT_PhaseInBattle,
幽会,IIRT_Lab_Assignation,实验性相位巡洋舰,克劳斯姆概念,IIRT_Lab_MadEnergy,36,10000,1500,11000,9000,1000,160,,60,55,55,28,35,1250,PHASE,phasecloak,,,,-0.28,0.04,50,100,120,150,8,50,8,335000,4,20,420,0.25,50,50,,,,,,,,KRM_bp,,,,0.5,2,5,IIRT_PhaseInBattle,
归尘,IIRT_Lab_Slod,实验性重型主力舰,克劳斯姆概念,IIRT_Lab_MadEnergy,46,12000,1400,12000,10000,1300,240,3,50,60,55,25,35,2250,PHASE,phasecloak,,,,-0.28,0.025,80,120,120,120,10,50,7,505000,5,20,600,0.25,60,60,,,,,,,,KRM_bp,,,,0.5,2,5,IIRT_PhaseInBattle,
哀恸,IIRT_Lab_Mourning,实验性相位战列航母,克劳斯姆概念,targetingfeed,50,18000,1500,13000,10000,1000,350,4,50,80,100,20,20,4000,PHASE,phasecloak,,,,-0.28,0.048,700,1500,300,300,15,50,7,750000,3,20,720,0.25,65,65,,,,,,,"PHASE, COMBAT",KRM_bp,,,,0.5,2,6,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
晦涩,IIRT_Lab_Obscurity,实验性相位补给舰,克劳斯姆概念,IIRT_Lab_PhaseBuild,5,6000,850,6000,8000,400,50,1,65,35,40,15,12,1600,PHASE,phasecloak,90,,,-0.1,0.04,50,200,750,900,3,300,8,80000,3,20,420,0.25,18,18,,,,,,,"CIVILIAN, TANKER, FREIGHTER",KRM_bp,,,,0.5,2,3,IIRT_PhaseInBattle,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
密钥-月相,IIRT_Omega_Cipher,实验性超级相位舰,克劳斯姆概念,IIRT_Lab_PhaseTeleporter,50,1500,400,3000,5000,400,65,,350,250,50,200,360,200,PHASE,IIRT_Omega_Cipher_phasecloak,90,,,-0.4,0.05,2,30,15,100,1,50,11,100000,9,20,200,0.25,18,9,,,,,,,"PHASE, UNBOARDABLE, HIDE_IN_CODEX","no_autofit, restricted,iirt_all_bp, no_sell",,,,0.5,1,1,IIRT_PhaseInBattle,
未知,IIRT_Omega_Biohigraphisto,纪传史,未知,chiral_figment,70,20000,2000,30000,54000,3000,255,,50,80,100,25,30,2400,PHASE,phasecloak,,,,-0.12,0.02,1000,2800,1000,1000,500,50,7,5000000,3,50,720,0,100,100,,,,,,,HIDE_IN_CODEX,"no_autofit, restricted,no_sell",,,,0.4,3,9,,
未知,IIRT_Omega_Writor,撰写士,未知,IIRT_Lab_PhaseTeleporter,20,5000,800,10000,8000,1000,200,,60,120,120,40,60,1000,PHASE,phasecloak,,,,-0.12,0.02,0,0,0,0,0,0,0,5000000,0,0,720,0,0,0,,,,,,,HIDE_IN_CODEX,"no_autofit, restricted,no_sell",,,,0.75,3,5,,
未知,IIRT_Omega_Candelabrum,影烛台,未知,IIRT_Lab_MadEnergy,10,3000,500,10000,8000,1000,50,,60,120,120,70,140,350,NONE,,0,0,0,,,0,0,0,0,0,0,0,5000000,0,0,720,0,0,0,,,,,,,HIDE_IN_CODEX,"no_autofit, restricted,no_sell",,,,0.75,2,4,,
#以西卡研究所
BD 轻移,IIRT_SD_Budge,护卫无人机,以西卡蜂巢网络,,,100,10,300,,55,0,,290,500,450,180,360,10,OMNI,,170,0,1,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RC 回声,IIRT_SD_Recall,护卫无人机,以西卡蜂巢网络,,,200,20,400,,80,0,,280,500,450,160,360,15,FRONT,,180,0,1,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LS 透镜,IIRT_SD_Lens,进攻无人机,以西卡蜂巢网络,IIRT_Lab_PhaseTeleporter,8,1000,100,3000,1600,200,55,1,115,190,180,80,75,150,FRONT,,190,0.4,0.8,,,0,0,50,30,1.5,20,9,10000,3,20,480,0.25,6,5,,,,,,,UNBOARDABLE,"iirt_all_bp, iirt_sd_bp, iirt_have, iirt_714",,,,0.4,2,2,,
DL 筒灯,IIRT_SD_DownLight,鱼雷护卫机,以西卡蜂巢网络,maneuveringjets,5,1000,250,3000,2000,350,40,1,130,140,110,75,100,200,OMNI,,100,0.4,0.7,,,0,0,20,50,1,50,9,32500,3,5,240,0.25,4,4,,,,,,,,"iirt_bp, iirt_sd_bp, iirt_all_bp, iirt_have, iirt_Army",,,,0.5,2,4,,
SK 尸骸,IIRT_SD_Skirmisher,科考舰,以西卡研究所,IIRT_Lab_PhaseTeleporter,5,2000,150,2300,1500,200,40,1,135,140,110,80,160,400,FRONT,,220,0.35,0.7,,,10,100,80,40,1,40,10,19000,8,10,240,0.25,5,5,,,,,,,LINER,"iirt_bp, iirt_sd_bp, iirt_all_bp, iirt_have",,,,0.5,2,4,,
RM 领域,IIRT_SD_Realm,突击相位护卫舰,以西卡研究所,IIRT_Lab_PhaseTeleporter,10,1750,250,2750,3750,300,50,,165,230,230,60,120,200,PHASE,phasecloak,0,,,0.05,0.05,10,15,25,50,1,50,10,55000,10,20,420,0.25,8,4,,,,,,,"PHASE, COMBAT","iirt_all_bp, iirt_sd_bp, iirt_have, iirt_Army",,,,0.5,2,4,,
RS 递归,IIRT_SD_Recursion,通用护卫舰,以西卡研究所,highenergyfocus,8,2000,200,2500,1500,250,55,1,130,140,110,75,100,400,OMNI,,150,0.35,0.7,,,20,40,80,30,1,30,9,48000,3,5,270,0.25,8,8,,,,,,,,"iirt_bp, iirt_sd_bp, iirt_all_bp, iirt_have, iirt_Army",,,,0.5,2,4,,
SR 漫步者,IIRT_SD_Stroll,打击炮艇,以西卡研究所,IIRT_Lab_PhaseTeleporter,12,2000,350,6000,5500,450,120,1,90,120,110,35,50,450,FRONT,,300,0.4,0.7,,,20,40,80,40,1,40,9,68000,5,10,330,0.25,15,15,,,,,,,,"iirt_all_bp, iirt_sd_bp, iirt_have, iirt_Army",,,,0.5,2,5,,
ED 序言,IIRT_SD_Exordium,打击巡洋舰,以西卡研究所,temporalshell,18,6000,550,10000,5000,700,160,2,70,60,50,50,60,900,OMNI,,120,0.4,0.68,,,80,100,40,60,2,30,8,155000,10,20,480,0.25,30,30,,,,,,,COMBAT,"iirt_all_bp, iirt_sd_bp, iirt_have, iirt_Army",,,,0.5,2,6,,
TD 恶潮,IIRT_SD_Tide,蜂群中继舰,以西卡研究所,IIRT_Lab_PhasePlasmajets,38,9000,1100,18000,10000,1000,290,4,70,40,50,30,20,1700,OMNI,,120,0.4,0.55,,,220,630,600,180,5,60,7,550000,10,40,600,0.25,72,72,,,,,,,"CARRIER, COMBAT","iirt_all_bp, iirt_have, iirt_714",,,,0.4,2,3,,
GZ 凝视,IIRT_SD_Gaze,科考中继舰,以西卡研究所,IIRT_Lab_PhasePlasmajets,38,9000,1100,18000,10000,1000,290,4,70,40,50,30,20,1700,OMNI,,120,0.4,0.55,,,220,630,600,180,5,60,7,550000,10,40,600,0.25,72,72,,,,,,,"CARRIER, COMBAT","iirt_all_bp, iirt_have, iirt_714",,,,0.4,2,3,,
GP 豁口-油轮,IIRT_SD_Gap_Tanker,燃料输送舰,以西卡研究所,IIRT_Lab_PhasePlasmajets,4,1300,250,2000,1500,200,45,1,120,70,50,30,60,200,OMNI,,100,0.4,0.7,,,5,10,15,350,1,300,9,10000,3,5,270,0.25,2,2,,,,,,,"CIVILIAN, TANKER","iirt_bp, iirt_sd_bp, iirt_all_bp, iirt_have, iirt_Army",,,,0.3,2,2,,
GP 豁口,IIRT_SD_Gap,运输舰,以西卡研究所,highenergyfocus,8,2000,225,2400,1500,225,55,1,130,140,110,80,90,400,OMNI,,120,0.35,0.7,,,5,20,300,60,1,60,9,48000,3,5,270,0.25,4,4,,,,,,,"CIVILIAN,FREIGHTER","iirt_bp, iirt_sd_bp, iirt_all_bp, iirt_have, iirt_Army",,,,0.5,2,4,,
DM 无光,IIRT_SD_Dim,后勤枢纽,以西卡研究所,maneuveringjets,7,2000,200,4000,2000,200,60,1,120,120,90,85,100,500,OMNI,,120,0.4,0.7,,,20,20,50,500,2,250,8,55000,5,25,240,0.25,8,8,,,,,,,"CIVILIAN, TANKER","iirt_bp, iirt_sd_bp, iirt_all_bp, iirt_have, iirt_Army",,,,0.75,3,8,,
#通用
,IIRT_Omega_Allusion,影射,未知,IIRT_Omega_displacer_shadow,,400,300,900,,200,0,,320,350,350,120,360,50,FRONT,,100,0,0.8,,,0,0,,,,,,,,,,,,,,,,,,,HIDE_IN_CODEX,"Omega_Psychasthenia, no_autofit, restricted,iirt_all_bp, no_sell",,,,,,,,
,IIRT_Omega_Bit,字节,未知,temporalshell,1,100,60,800,,100,10,1,360,250,500,180,360,10,OMNI,,170,0,1,,,0,0,5,2,0,50,12,50000,0,0,,,0,0,,,,,,,"CARRIER, UNBOARDABLE, HIDE_IN_CODEX","Omega_Watcher, Omega_Psychasthenia, no_autofit, restricted,iirt_all_bp, no_sell",,,,,,,,
,IIRT_Omega_Kb,千兆,未知,temporalshell,1,200,95,900,,120,10,1,360,250,500,180,360,10,OMNI,,170,0,1,,,0,0,5,2,0,50,12,50000,0,0,,,0,0,,,,,,,"CARRIER, UNBOARDABLE, HIDE_IN_CODEX","Omega_Watcher, Omega_Psychasthenia, no_autofit, restricted,iirt_all_bp, no_sell",,,,,,,,
,IIRT_Omega_Arrow,箭头,未知,IIRT_Omega_displacer_shock_02,12,1500,300,3800,3800,400,50,,200,250,200,120,360,200,OMNI,,150,0,0.5,,,0,0,10,50,1,50,12,100000,20,5,,,6,6,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX","Omega_Watcher, Omega_Psychasthenia, no_autofit, restricted,iirt_all_bp, no_sell",,,,0.5,2,1,,
,IIRT_Omega_Crack,瑕疵,未知,IIRT_Omega_displacer_shock,12,1000,200,3500,3800,400,60,,200,250,200,120,360,200,OMNI,,150,0,0.5,,,0,0,10,50,1,50,12,100000,20,5,,,6,6,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX","Omega_Watcher, Omega_Psychasthenia, Omega_System_Type_II, no_autofit, restricted,iirt_all_bp, no_sell",,,,0.5,2,1,,
#网络冥魂,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IIRT_Omega_Record,显明,未知,highenergyfocus,,600,300,1000,,200,0,,380,300,150,120,360,50,NONE,,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,HIDE_IN_CODEX,"Omega_Psychasthenia, no_autofit, restricted,iirt_all_bp, no_sell",,,,,,,,
,IIRT_Omega_Proxy,代理,未知,IIRT_Omega_ECM_hijack,12,2000,500,4000,5000,400,60,,200,250,200,120,360,200,OMNI,,150,0,0.5,,,0,0,10,100,1,50,12,100000,20,5,,,8,8,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX","Omega_Psychasthenia, no_autofit, restricted,iirt_all_bp, no_sell",,,,0.5,2,1,,
,IIRT_Omega_Gateway,网关,未知,IIRT_Omega_microburn_RGB,25,3500,800,4000,5000,400,80,,200,250,200,120,360,200,OMNI,,150,0,0.5,,,0,0,10,200,1,50,12,100000,20,5,,,18,18,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX","Omega_Psychasthenia, no_autofit, restricted,iirt_all_bp, no_sell",,,,0.5,2,1,,
,IIRT_Omega_AttackChain,攻击链,未知,temporalshell,34,5500,800,4500,5000,500,90,,150,300,300,100,360,300,OMNI,,150,0,0.5,,,0,0,10,200,1,50,12,100000,20,5,,,22,22,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX","Omega_Psychasthenia, no_autofit, restricted,iirt_all_bp, no_sell",,,,0.5,2,2,,
,IIRT_Omega_Firewall,防火墙,未知,temporalshell,40,8000,1000,10500,13333,1050,180,,100,100,100,40,135,1900,OMNI,,150,0,0.5,,,0,0,120,600,3,50,11,500000,20,5,,,40,40,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX","Omega_Psychasthenia, no_autofit, restricted,iirt_all_bp, no_sell",,,,0.5,2,3,,
,IIRT_Omega_Antitrack,反跟踪,未知,temporalshell,40,7500,1000,12000,13333,1200,170,,100,100,100,40,135,1930,OMNI,,150,0,0.5,,,0,0,120,600,3,50,11,500000,20,5,,,40,40,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX","Omega_Psychasthenia, no_autofit, restricted,iirt_all_bp, no_sell",,,,0.5,2,3,,
,IIRT_Omega_Watcher,中转点,未知,IIRT_Omega_Watcher_FluxCap,34,5500,800,4500,5000,500,90,,150,300,300,100,360,300,OMNI,,150,0,0.5,,,0,0,10,200,1,50,12,100000,20,5,,,22,22,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX","Omega_Psychasthenia, no_autofit, restricted,iirt_all_bp, no_sell",,0.5,2,2
,Omega_EPP,终端防护平台,未知,IIRT_Omega_DDOS,70,25000,1750,25000,12000,1450,230,,90,100,100,30,135,2400,OMNI,,150,0,0.5,,,0,0,120,600,3,50,11,500000,20,5,,,60,60,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX","Omega_Psychasthenia, no_autofit, restricted,iirt_all_bp, no_sell, limited_tooltip_if_locked",,,,0.5,2,4,,
,PTSD_Omega_MacroVirus,宏病毒,未知,IIRT_Omega_WingMan_Black,160,40000,3000,45000,12000,3500,500,2,90,100,100,30,135,2400,OMNI,,78,0,0.5,,,0,0,700,1000,10,50,9,500000,20,5,,,60,60,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX","Omega_Psychasthenia, no_autofit, restricted,iirt_all_bp, no_sell, limited_tooltip_if_locked",,,,0.5,2,4,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#介入灵质,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
