name,id,tier,rarity,tech/manufacturer,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sModDesc,sprite
#以西卡通量化矩阵AI系统,IIRT_SD_AiCenter,1,,以西卡研究所,special,特殊,50000,,TRUE,,0,0,0,0,data.hullmods.IIRT_AiCenter,以西卡的量产AI核心，具有一定的反应能力，提升舰船的内部能源流动速率，同时其内置相当优秀的辐能管控系统，可以大幅集中护盾立场抵挡甚至无视来自敌人的伤害。但巨大的能量流对于过于协调的系统而言具有极大的不确定性。也使得对系统的保养变得异常重要。,+时间流速 -武器掉线概率 -护盾受动能、能量伤害 +护盾受高爆伤害 +受EMP伤害。,,graphics/hullmods/IIRT_AiCenter.png
以西卡 -归墟- 设计方案,IIRT_SD_Lab,,,以西卡研究所,special,特殊,50000,,TRUE,,0,0,0,0,data.hullmods.IIRT_SD,"这艘船只由以西卡研究所设计，根据“归墟计划”的基础需求，对原本的科考船体进行了大幅度军事化翻新，并内置了特殊的适应装置来应对可能的威胁。

根据船体等级减免自身受到的 %s/%s/%s/%s 光束武器伤害；
降低船体受损时 %s 的人员伤亡；
此舰上所有以西卡武器降低 %s OP装配需求。",+结构 -船体受损效果。,,graphics/hullmods/SD/IIRT_YisicLab.png
#欧米伽,,,,,,,,,,,,,,,,,,,
网络冥魂,IIRT_Omega_WebShardSpawner,,,未知,special,特殊,,,TRUE,,0,0,0,0,data.hullmods.shard.IIRT_WebShardSpawner,可以针对性的分裂成更小型的子机来攻击敌人。,网络冥魂 系列的通用子机分裂船插。,,data/missions/IIRT_Omega_test_2/Mega_Enginer.png
介入灵质,IIRT_Omega_TranShardSpawner,,,未知,special,特殊,,,TRUE,,0,0,0,0,data.hullmods.shard.IIRT_TranShardSpawner,可以针对性的分裂成更小型的子机来攻击敌人。,介入灵质 系列的通用子机分裂船插。,,data/missions/IIRT_Omega_test_2/Mega_Enginer.png
乱码尸骸,IIRT_Omega_BugShardSpawner,,,未知,special,特殊,,,TRUE,,0,0,0,0,data.hullmods.shard.IIRT_BugShardSpawner,可以针对性的分裂成更小型的子机来攻击敌人。,乱码尸骸 系列的通用子机分裂船插。,,data/missions/IIRT_Omega_test_2/Mega_Enginer.png
热寂死界,IIRT_Omega_ColdShardSpawner,,,未知,special,特殊,,,TRUE,,0,0,0,0,data.hullmods.shard.IIRT_ColdShardSpawner,可以针对性的分裂成更小型的子机来攻击敌人。,热寂死界 系列的通用子机分裂船插。,,data/missions/IIRT_Omega_test_2/Mega_Enginer.png
熵级运载,IIRT_Omega_CubeShardSpawner,,,未知,special,特殊,,,TRUE,,0,0,0,0,data.hullmods.shard.IIRT_CubeShardSpawner,在被击毁后会随机出现各种欧米伽物件,熵级运载 专属的盲盒分裂船插。,,data/missions/IIRT_Omega_test_2/Mega_Enginer.png
#特殊,,,,,,,,,,,,,,,,,,,
超弦月相涂层,IIRT_Omega_BeamShield,,,克劳斯姆概念,special,特殊,,,TRUE,,0,0,0,0,data.hullmods.IIRT_OmegaBeamShield,"来自克劳斯姆博士的概念设计，此舰与欧米伽结构融合后对某些伤害有了一定的免疫效果，会将其转化为机体材料的分子动能。

常态会免疫EMP伤害、光束伤害完全转化为软幅能；
舰船在进入P空间后可在一段时间内保持稳定态，同时每次进入相位状态都会蒸发大量幅能

伤幅转换时，若幅容不足则将会导致此次伤幅转换为硬幅能，同时引发自身过载
==过载时会对周围释放大量电击，并失去伤幅转换的能力==

'运用'超弦振动涂层'的相关理论，将未知舰体的部分与舰船融合...简单来说就是可以令舰船在P空间内稳定更长时间，同时进一步优化赋能的消耗。'",克劳斯姆概念—密钥系列基础船插,,graphics/hullmods/IIRT_Omega_BeamShield.png
目标定位巨型机,supercomputer,,,,,,,,TRUE,,0,0,0,0,data.hullmods.TargetingSupercomputer,"提高 %s 实弹与能量武器射程，但点防类武器仅提高 %s。

同时也提高了瞄准精度，并大幅度提高战斗探测范围。",极大地提高非导弹武器的射程。,,graphics/hullmods/targeting_supercomputer.png
