name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number
枚有风磁轨炮,IIRT_TDB_meiYouFeng,,,,1000,,800,180,20,10,25,,,,HIGH_EXPLOSIVE,960,,1,2,1,0.2,0,0,0,0,,1000,1250,3.75,250,"SYSTEM, STRIKE, USE_VS_FRIGATES, DO_NOT_AIM, IGNORES_FLARES","he18,restricted,SYSTEM",,未知,,反装甲,,,,,这是谁的武器呢？,,,,,1311
发散卜防御激光,IIRT_TDB_unFocuspd,,,,600,95,,,0,100,5,,,,ENERGY,,55,0,0.1,,,,,,,3000,,,,,"SYSTEM, PD, ANTI_FTR","energy20,beam15,restricted,SYSTEM",,未知,,点防御,,,,,这是谁的武器呢？,,,,,701.4
纸升机炮,IIRT_FSF_Helico_Gun,,,,1200,,50,,0,100,5,,,,KINETIC,,10,0.05,0.1,5,0.05,0,10,3,2,,800,1000,,50,"SYSTEM, PD, ANTI_FTR, IGNORES_FLARES","restricted,SYSTEM",,未知,,通用,,,,,这是谁的武器呢？,,,,,
#以西卡研究所——————————————————————————临时ban掉，史山太多，不想动
字节 Bito自卫单元,IIRT_Bito,1,,450,600,,20,1,,100,8,30,4.1,10,ENERGY,17,,0.01,0.045,1,,0,5,0.5,15,,780,,,50,,"energy8, SR, iirt_bp, iirt_all_bp, iirt_sd_10, iirt_have",,以西卡研究所,,突击,,,,,,,安装在以西卡舰船上时所需OP较少,,,50001
透射 Transmiso激光单元,IIRT_Transmiso,1,,1000,1000,60,,,,100,7,,,,ENERGY,,50,0.05,0.2,,,,,,,3600,,,,,"PD,ANTI_FTR","pd7, beam5, iirt_bp, iirt_all_bp, iirt_sd_10, iirt_have",,以西卡研究所,,点防御,,,,,,,安装在以西卡舰船上时所需OP较少,,,
折光 Refractivity激光单元,IIRT_Refractivity,1,,600,550,100,,350,2,90,6,,,,ENERGY,,90,0.1,0.1,0.1,,0,0,0,0,10000,,,,,"PD,ANTI_FTR","pd9, beam6, iirt_bp, iirt_all_bp, iirt_sd_10, iirt_have",,以西卡研究所,,点防御,,,,,,,安装在以西卡舰船上时所需OP较少,,,
转流 Divert 自追踪脉冲单元,IIRT_Divert,1,,900,1000,,40,,,35,12,20,0.6,8,ENERGY,40,,0.1,0.3,4,0.05,0,10,0.5,15,,400,250,6,100,GUIDED_POOR,"missile7, iirt_all_bp, iirt_sd_10, iirt_have",,以西卡研究所,,压制,,,,,,,安装在以西卡舰船上时所需OP较少,,,
转流-S DivertS 自追踪脉冲单元,IIRT_Divert_Any,1,,900,900,,35,1,,35,13,16,0.8,10,ENERGY,40,,0.1,0.3,4,0.05,0,10,0.5,15,,400,230,5.8,100,"DO_NOT_AIM, SYSTEM","missile7, iirt_all_bp, iirt_sd_10, iirt_have",,以西卡研究所,,压制,较快,良好,,,,,此版本的单元在发射时不会主动瞄准，并拥有更长的导弹持续时间,,,
转流-T DivertT 自追踪脉冲单元,IIRT_Divert_Only,1,,900,900,,35,1,,35,13,16,,,ENERGY,40,,0.1,0.3,4,0.05,0,10,0.5,15,,500,230,5.8,100,"DO_NOT_AIM, SYSTEM","missile7, iirt_all_bp, iirt_sd_10, iirt_have",,以西卡研究所,,压制,较快,良好,,,,,,,,
熵变 Comment熵防御装置,IIRT_Comment,2,,1000,800,300,,,5,90,17,,,,FRAGMENTATION,,150,0.1,0.1,,,,,,,3600,,,,,"PD, ANTI_FTR, IGNORES_FLARES","pd19, beam15, iirt_bp, iirt_all_bp, iirt_sd_10, iirt_have",,以西卡研究所,,点防御,,,,,,,安装在以西卡舰船上时所需OP较少,,,
视线 Los高能粒子束,IIRT_Los,2,,1200,1000,170,,350,180,28,14,,,,ENERGY,,250,0.3,0.2,1,0.25,,,,,2400,,,,,,"beam10, pd15, iirt_all_bp, iirt_sd_10, iirt_have",,以西卡研究所,,控盾,,,,,[未实现]当命中护盾时，在短时间内削弱敌方护盾盾角，最多可削减50度，可形成一定范围的碎片粒子场。,,安装在以西卡舰船上时所需OP较少,,,
哨兵 Sentry哨戒炮,IIRT_Sentry,2,,1500,600,1000,,,10,100,18,,,,FRAGMENTATION,,1000,0.03,0.2,1,0.02,,,,,1900,,,,,IGNORES_FLARES,"beam10, iirt_all_bp, iirt_sd_10, iirt_have",,以西卡研究所,,反结构,,,,,"产生硬辐能
当对敌人结构造成伤害时引发一次低伤害的范围能量损伤场。",,安装在以西卡舰船上时所需OP较少,,,
偏见 Prejudice高压束,IIRT_Prejudice,2,,1500,1000,60,,50,0,20,18,,,,ENERGY,,90,0.3,0.3,,,,,,,3200,,,,,,"energy14, beam10, iirt_sd_10, iirt_all_bp, iirt_have",,以西卡研究所,,压制,,,,,命中船体或装甲时大概率产生打击武器与引擎的电弧，造成额外 EMP 与能量伤害。当命中护盾时，将根据目标硬幅能水平随机产生穿透护盾的电弧。,,安装在以西卡舰船上时所需OP较少,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
正则 Regular自卫装置,IIRT_Regular,2,,1000,700,,90,,,30,17,,,,HIGH_EXPLOSIVE,70,,0,0.2,2,0.15,0,15,1,10,,1000,,,30,"ANTI_FTR,IGNORES_FLARES","he15, SR, hist1t, iirt_bp, iirt_all_bp, iirt_sd_10, iirt_have",,以西卡研究所,,反装甲,,,,,,,安装在以西卡舰船上时所需OP较少,,,
无常 Unstable离子炮,IIRT_Unsable,2,,1000,600,,120,200,3,30,14,,,,ENERGY,140,,0,0.25,1,,0,10,1,9,,1600,,,30,,"he15, iirt_all_bp, iirt_sd_10, iirt_have",,以西卡研究所,,瘫痪,,,,,"产生硬辐能
当命中船体或装甲时，有 %s 的概率立即形成一次小范围的EMP爆炸，造成一半面板数值的破片伤害以及大量随机伤害的EMP团。",25%,安装在以西卡舰船上时所需OP较少,,,
暗昼 DownLight磁轨火炮,IIRT_Downlight,2,,1200,900,,140,,12,20,17,,,,ENERGY,130,,0,1.3,3,0.15,0,10,5,5,,1000,,,30,,"kinetic15, he11, iirt_all_bp, iirt_sd_10, iirt_have",,以西卡研究所,,远炮,,,,,"命中船体或装甲时产生一次伤害为 %s 高爆爆炸；
当自身 %s 距离范围内没有敌人时，激活远炮系统；失去额外高爆效果，提升火炮额外 %s 射程。",100点 | 900单位 | 200单位,安装在以西卡舰船上时所需OP较少,,,
恐吓 Theaten轨道炮,IIRT_Theaten,2,,1000,750,500,,,10,40,17,5,0.5,2,KINETIC,,600,0.25,0.5,1,,,,,,10000,,,,,,"kinetic8, LR, iirt_all_bp, iirt_sd_10, iirt_have",,以西卡研究所,,反护盾,,,,,产生硬辐能,,安装在以西卡舰船上时所需OP较少,,,
恶意 Evil冲程炮,IIRT_Evil,2,,1000,700,400,,,10,18,17,,,,HIGH_EXPLOSIVE,,500,0.3,0.15,1.55,0.05,,,,,2400,,,,,,"kinetic15, iirt_all_bp, iirt_sd_10, iirt_have",,以西卡研究所,,反装甲,,,,,产生微弱硬辐能,,安装在以西卡舰船上时所需OP较少,,,
递归 Recursion扩容自追踪脉冲装置,IIRT_Recursion,1,,1500,1200,,800,,100,15,17,10,0.5,4,ENERGY,120,,0.4,1.0,2,0.1,0,0,0,0,,260,130,8.5,200,"GUIDED_POOR, IGNORES_FLARES","utility18, hist1t, iirt_all_bp, iirt_sd_10, iirt_have",,以西卡研究所,,通用,中等,较差,,,,,安装在以西卡舰船上时所需OP较少,,,
递归 Recursion扩容自追踪脉冲,IIRT_Recursion_S,1,,1500,1000,,800,,100,15,12,3,,,ENERGY,120,,0.4,1.0,2,0.1,0,0,0,0,,260,70,8,400,"GUIDED_POOR, IGNORES_FLARES, SYSTEM","utility18, ",,以西卡研究所,,通用,中等,较差,,,,,安装在以西卡舰船上时所需OP较少,,,
流通 Okulo电浆发射装置,IIRT_Okulo,1,,1500,1200,,150,200,200,15,20,30,0.5,30,ENERGY,120,,0,5,8,0.1,0,0,0,0,,450,350,6,200,"STRIKE, CONSERVE_1","utility18, iirt_all_bp, iirt_sd_10, iirt_have",,以西卡研究所,,压制打击,中等,良好,,,,,安装在以西卡舰船上时所需OP较少,,TRUE,
均衡 Balance电磁网络装置,IIRT_Balance,4,0,1500,1000,,100,30,0,15,20,4,0.55,2,ENERGY,400,,0,7.5,2,0.1,0,0,0,0,,240,150,7,630,"HEATSEEKER, SYSTEM","utility13, hist1t, iirt_all_bp, iirt_sd_10, iirt_have",,以西卡研究所,,瘫痪,中等,良好,,,瘫痪网将会造成少量能量伤害、 以及巨量的EMP伤害。,,安装在以西卡舰船上时所需OP较少,,,
收割 Rago等离子炮,IIRT_Rago,3,,2250,950,,350,50,,11,28,6,2,4,ENERGY,290,,0.01,0.1,,,0,10,2,4,,1000,800,,450,,"kinetic8, SR, hist1t, iirt_all_bp, iirt_sd_10, iirt_have",,以西卡研究所,,通用,,,,,,,安装在以西卡舰船上时所需OP较少,,TRUE,
#AC
弯月面 LRFk-711,IIRT_Lab_Meniscus_LAG,,,,1000,,150,,200,15,6,,,,KINETIC,100,,0.5,0.5,1,0,0,0,0,0,1300,1300,,,500,"SYSTEM, IGNORES_FLARES","restricted,SYSTEM",,克劳斯姆概念,,通用,极佳,,,,这是 %s 的专用狙击兵器。,弯月面,,,,
弯月面 右臂模块,IIRT_Lab_Meniscus_RA,,,,1000,0,,,,15,6,,,,ENERGY,,0,0,0,0,0,0,0,0,0,0,,,,,SYSTEM,"restricted,SYSTEM",,克劳斯姆概念,,,,,,,这是 %s 的结构部件。,弯月面,,,TRUE,
弯月面 额外广角模块,IIRT_Lab_Meniscus_H,,,,1000,,20,50,-10,20,6,1,0.5,2,ENERGY,-10,,0.1,0.1,3,0.05,10,20,5,4,,150,0,,100,"SYSTEM,PD,ANTI_FTR","restricted,SYSTEM",,克劳斯姆概念,,点防御,,,,,这是 %s 的额外扩展媒体采集设备，同时内置了能将幅能消耗掉的能量团发生装置。,弯月面,,,TRUE,
上弦月 左臂模块,IIRT_Lab_FirstQuarter_LA,,,,600,,40,100,10,15,6,30,1.5,10,ENERGY,25,,0,3,5,0.1,4,10,4,3,1000,1000,1000,,70,"SYSTEM, IGNORES_FLARES","restricted,SYSTEM",,克劳斯姆概念,,通用,,,,,"这是 %s 的结构部件以及主武器。
当命中船体或装甲时，有 %s 的概率产生打击武器与引擎的电弧，和武器伤害相等的额外伤害。",上弦月 | 25%,,,,
上弦月 右臂模块,IIRT_Lab_FirstQuarter_RA,,,,600,,40,100,10,15,6,30,1.5,10,ENERGY,25,,0,3,5,0.1,4,10,4,3,1000,1000,1000,,70,"SYSTEM, IGNORES_FLARES","restricted,SYSTEM",,克劳斯姆概念,,通用,,,,,"这是 %s 的结构部件以及主武器。
当命中船体或装甲时，有 %s 的概率产生打击武器与引擎的电弧，和武器伤害相等的额外伤害。",上弦月 | 25%,,,,
上弦月 PD模块,IIRT_Lab_FirstQuarter_Head,,,,600,10,,10,10,15,6,,,,ENERGY,,0,0.1,0.1,,,,,,,3000,,,,,"SYSTEM,PD,ANTI_FTR","restricted,SYSTEM",,克劳斯姆概念,,点防御,,,,,这是 %s 的额外扩展媒体采集设备，同时能用激光稍微解决点东西。,上弦月,,,,
蛾眉月 HSGn-041,IIRT_Lab_Crescent_SG,,,,400,,50,,10,15,6,,,,HIGH_EXPLOSIVE,10,,0.75,4.25,2,0,10,28,4,3,,1600,2000,,70,"SYSTEM, IGNORES_FLARES","restricted,SYSTEM",,克劳斯姆概念,,打击,,,,,这是 %s 的专用重型高爆霰弹兵器。,x蛾眉月,,,,
蛾眉月 PD模块,IIRT_Lab_Crescent_Head,,,,400,,,25,-10,15,6,,,,ENERGY,,0,0.1,0.1,,,,,,,3000,,,,,"SYSTEM,PD,ANTI_FTR, IGNORES_FLARES","restricted,SYSTEM",,克劳斯姆概念,,点防御,,,,,这是 %s 的额外扩展媒体采集设备，同时能用激光稍微解决点东西。,蛾眉月,,,,
蛾眉月 身体模块,IIRT_Lab_Crescent_Body,,,,400,,,,,15,6,,,,ENERGY,,0,0,0,0,0,0,0,0,0,0,,,,,SYSTEM,"restricted,SYSTEM",,克劳斯姆概念,,,,,,,这是 %s 的结构部件。,蛾眉月,,,,
塌缩冲程单元,IIRT_Lab_Pessimism_Main,,,,400,,1200,,200,10,,20,,,ENERGY,1200,,0.2,6,1,0.3,0,0,0,0,,1000,1000,,200,"SYSTEM, STRIKE, GROUP_ALTERNATING","restricted,SYSTEM",,克劳斯姆概念,,塌缩,良好,,,,"当命中船体或装甲时，有 %s 的概率进行一次塌缩判定。并直接擦除敌人对应的CR。
%s = 武器实际伤害/对方剩余赋能
-- %s --
当 %s 结果 >= 1时，则直接抹除 %s CR；
当 %s 结果 < 1时，则抹除 %s x %s 对应的CR。",30% | 塌缩比 | 判定| 塌缩比 | 10% | 塌缩比 | 10% | 塌缩比,,,TRUE,
